[StarLoader] 22-02-2021 at 17:18:19 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:18:47 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:19:46 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:22:13 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:26:27 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:26:27 MEZ  created ship objectShipObject{UID='InnocentMiner01', name='Innocence', faction='BlackWork Mechanics', pilot='unknown', mass=2000, cargoMass=2459}
[StarLoader] 22-02-2021 at 17:26:27 MEZ  created ship objectShipObject{UID='EvilWarlordPirateShip', name='red flood I', faction='bloodcrows', pilot='unknown', mass=16000, cargoMass=15420}
[StarLoader] 22-02-2021 at 17:26:45 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:26:45 MEZ  created ship objectShipObject{UID='InnocentMiner01', name='Innocence', faction='BlackWork Mechanics', pilot='unknown', mass=2000, cargoMass=2459}
[StarLoader] 22-02-2021 at 17:26:45 MEZ  created ship objectShipObject{UID='EvilWarlordPirateShip', name='red flood I', faction='bloodcrows', pilot='unknown', mass=16000, cargoMass=15420}
[StarLoader] 22-02-2021 at 17:31:27 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:31:27 MEZ  created ship objectShipObject{UID='InnocentMiner01', name='Innocence', faction='BlackWork Mechanics', pilot='unknown', mass=2000, cargoMass=2459}
[StarLoader] 22-02-2021 at 17:31:27 MEZ  created ship objectShipObject{UID='EvilWarlordPirateShip', name='red flood I', faction='bloodcrows', pilot='unknown', mass=16000, cargoMass=15420}
[StarLoader] 22-02-2021 at 17:31:47 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:31:47 MEZ  created ship objectShipObject{UID='InnocentMiner01', name='Innocence', faction='BlackWork Mechanics', pilot='unknown', mass=2000, cargoMass=2459}
[StarLoader] 22-02-2021 at 17:31:47 MEZ  created ship objectShipObject{UID='EvilWarlordPirateShip', name='red flood I', faction='bloodcrows', pilot='unknown', mass=16000, cargoMass=15420}
[StarLoader] 22-02-2021 at 17:32:58 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:32:58 MEZ  created ship objectShipObject{UID='InnocentMiner01', name='Innocence', faction='BlackWork Mechanics', pilot='unknown', mass=2, cargoMass=2459}
[StarLoader] 22-02-2021 at 17:32:58 MEZ  created ship objectShipObject{UID='EvilWarlordPirateShip', name='red flood I', faction='bloodcrows', pilot='unknown', mass=15, cargoMass=15420}
[StarLoader] 22-02-2021 at 17:35:08 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:35:08 MEZ  created ship objectShipObject{UID='InnocentMiner01', name='Innocence', faction='BlackWork Mechanics', pilot='unknown', mass=2, cargoMass=2459}
[StarLoader] 22-02-2021 at 17:35:08 MEZ  created ship objectShipObject{UID='EvilWarlordPirateShip', name='red flood I', faction='bloodcrows', pilot='unknown', mass=15, cargoMass=15420}
[StarLoader] 22-02-2021 at 17:35:38 MEZ  created ship objectShipObject{UID='unknown', name='unknown', faction='unknown', pilot='unknown', mass=-1, cargoMass=-1}
[StarLoader] 22-02-2021 at 17:35:38 MEZ  created ship objectShipObject{UID='InnocentMiner01', name='Innocence', faction='BlackWork Mechanics', pilot='unknown', mass=2, cargoMass=2459}
[StarLoader] 22-02-2021 at 17:35:38 MEZ  created ship objectShipObject{UID='EvilWarlordPirateShip', name='RED FLOOD II', faction='bloodcrows', pilot='unknown', mass=15, cargoMass=15420}
